ALPHA,CL,CD
-0.5,0.2,0.01
0,0.38,0.0092
0.5,0.58,0.009
1,0.8,0.0092
4,0.99,0.011
8,1.15,0.015
10,1.26,0.0165
11,1.31,0.0195
13,1.32,0.0195
